,,weight,precision,recall,trial
,,mean,mean,mean,count
w_nc,norm_rank,,,,
0.0,1,0.313248005776174,0.919748695343772,0.9740175912543284,3
0.0,2,0.2911372054629261,0.9201089097064049,0.9740790320947269,3
0.0,3,0.18718516727323276,0.8401821806630577,0.9715215962752325,3
0.0,4,0.10649489670110718,0.8016437337671086,0.9688647537752871,3
0.0,5,0.10193472478655996,0.8640468294486857,0.9729138009093504,3
0.0,net,1.0,0.8870075085786561,0.9729744498409388,3
0.05,1,0.31430874631055367,0.8958717690857178,0.9740626791007276,3
0.05,2,0.2728049230776519,0.9759091977963278,0.9764852420418307,3
0.05,3,0.19729881330302926,0.8400140861873232,0.971343521614768,3
0.05,4,0.1290876241874685,0.8642355291926954,0.9718554964285143,3
0.05,5,0.08649989312129659,0.9430771814531472,0.9769358562543465,3
0.05,net,1.0,0.905146354122511,0.9740837319051291,3
0.1,1,0.3213035435109845,0.9771891882122317,0.9768104256793069,3
0.1,2,0.26205550680164197,0.9771390731195139,0.9765935232511805,3
0.1,3,0.16601981402827026,0.7844136992830704,0.9676140938256973,3
0.1,4,0.1505480247050339,0.8090961270181071,0.9688069456010902,3
0.1,5,0.10007311095406944,0.9213465603272525,0.9748137504067822,3
0.1,net,1.0,0.9143318456021655,0.9738228796954812,3
0.15,1,0.34929450221876523,0.919139217140148,0.9414143237017449,3
0.15,2,0.2772454845461294,0.9192467542529569,0.9423770383677007,3
0.15,3,0.14453638844055341,0.8637156828661215,0.9723672043597111,3
0.15,4,0.13241788875836938,0.8641453797889528,0.9731901745101892,3
0.15,5,0.09650573603618258,0.9189264062316745,0.9409469999985594,3
0.15,net,1.0000000000000002,0.904493680883219,0.9522932283811283,3
0.2,1,0.3423799959462622,0.9763583493241393,0.9769798706938418,3
0.2,2,0.2811635938986547,0.9202847605598107,0.9742304867873415,3
0.2,3,0.148232824774025,0.920456272694825,0.9741706103838412,3
0.2,4,0.11744611822054007,0.8126279038344079,0.9434191556575606,3
0.2,5,0.11077746716051799,0.7882125591581467,0.942859050664333,3
0.2,net,1.0,0.919039852352241,0.9671413600642994,3
0.25,1,0.5849981572475688,0.8394191700457941,0.9392764807050936,3
0.25,2,0.21347055319035957,0.8678852734333836,0.9125921118869781,3
0.25,3,0.08254790987364267,0.8415383640173406,0.913105157986254,3
0.25,4,0.06569628871861116,0.7610811622023507,0.9553928796034131,3
0.25,5,0.053287090969817895,0.8486366482395722,0.9554689192774618,3
0.25,net,1.0,0.8330880412311258,0.9415943411863754,3
0.3,1,0.5403549047183119,0.8975393145546103,0.9739641525553996,3
0.3,2,0.1839544606478892,0.8413084429348481,0.9718165082336686,3
0.3,3,0.1129686573256871,0.8803627289279984,0.9571824663987044,3
0.3,4,0.10765566216688933,0.8411125701040224,0.9713145920448468,3
0.3,5,0.0550663151412224,0.8411168370361802,0.9717487158637619,3
0.3,net,1.0,0.8640774743843079,0.9688690126531284,3
0.35,1,0.42477977821686846,0.7733501971709057,0.8777886350996394,3
0.35,2,0.20763505057012735,0.8319265894878206,0.9719021382915836,3
0.35,3,0.16735193228386291,0.8409132494105643,0.9709702970997224,3
0.35,4,0.10727422841036223,0.7969113483569991,0.8777106984260531,3
0.35,5,0.09295901051877901,0.8880904103875586,0.9737304298981083,3
0.35,net,1.0,0.8017048348248604,0.9150213724794947,3
0.4,1,0.3643427054709965,0.8941607616920475,0.9090778401726213,3
0.4,2,0.29867987415319047,0.9735660496945876,0.9109120051375165,3
0.4,3,0.1712568451751412,0.8892314841535853,0.9074535551956987,3
0.4,4,0.1036386558154323,0.8607582009179868,0.8806096199396324,3
0.4,5,0.06208191938523949,0.9744272321345977,0.9440321203862521,3
0.4,net,1.0,0.9153633906730704,0.9021732520433633,3
0.45,1,0.6044599063050834,0.8152145932085189,0.9383695320537426,3
0.45,2,0.20838182437934594,0.9191758449857889,0.9410099957763917,3
0.45,3,0.09459876957001688,0.9191080517484668,0.940699605150221,3
0.45,4,0.053802176377126344,0.8442007328906201,0.931576809208143,3
0.45,5,0.03875732336842735,0.94576190156612,0.9110302895764028,3
0.45,net,1.0,0.8533015148578292,0.9387126016483927,3
0.5,1,0.44471968965183145,0.8807551234313881,0.923855914647609,3
0.5,2,0.21079158407338275,0.893220333020869,0.8768606346999266,3
0.5,3,0.12977020452544338,0.7990478819017097,0.9223800989923264,3
0.5,4,0.11632054667609698,0.8933391061284676,0.8773110010195376,3
0.5,5,0.09839797507324544,0.7481454444417365,0.7333572441810525,3
0.5,net,1.0,0.8583350281021779,0.8829191782621771,3
0.55,1,0.4858750956699675,0.8160966290914876,0.9381460142626836,3
0.55,2,0.24625150377759567,0.9021361353657388,0.8121159594692432,3
0.55,3,0.11652720266070933,0.8870322650001157,0.8290542349288351,3
0.55,4,0.07962473833977217,0.8351886838120754,0.7521505260145797,3
0.55,5,0.07172145955195534,0.7721609342926308,0.7921521868789324,3
0.55,net,1.0,0.8446001221404998,0.8840452649575089,3
