,log_posterior,log_posterior,chain_rank,w_nc,trial
,mean,count,,,
expression,,,,,
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-551.0896856146709,2670,3.0,0.35,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-551.0896856146674,2179,4.0,0.35,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-549.1734429047351,2139,5.0,0.35,1.0
"['No-norm', 'true']",-549.9992915147618,15439,1.0,0.35,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-553.4281710493023,4956,2.0,0.35,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-553.4281710492974,4362,3.0,0.35,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'triangle']]], ['Zone', '2']]]",-554.5267833379314,1910,4.0,0.35,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-552.4917305674113,1831,5.0,0.35,2.0
"['No-norm', 'true']",-549.9992915147384,13924,1.0,0.35,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-553.4281710493136,7279,2.0,0.35,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-553.4281710493115,6689,3.0,0.35,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'triangle']]], ['Zone', '2']]]",-554.526783337904,2510,4.0,0.35,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-554.5267833379074,2414,5.0,0.35,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-547.7490947712074,16156,1.0,0.4,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-547.7490947712064,14902,2.0,0.4,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-548.8477070597339,5303,3.0,0.4,1.0
"['No-norm', 'true']",-549.9992915145888,2849,4.0,0.4,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-545.7132329318569,977,5.0,0.4,1.0
"['No-norm', 'true']",-549.9992915147395,13989,1.0,0.4,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-552.3262054266438,4522,2.0,0.4,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-552.3262054266434,4513,3.0,0.4,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-553.9233678055463,2541,4.0,0.4,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-553.4248177153081,1441,5.0,0.4,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-549.9650197597566,6041,1.0,0.4,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-549.9650197597606,5417,2.0,0.4,3.0
"['No-norm', 'true']",-549.9992915145675,3947,3.0,0.4,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '2'], ['Next-Move', ['Colour', 'g'], ['Shape', 'any']]], ['Zone', '1']]]",-552.8112944033445,3437,4.0,0.4,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '2'], ['Next-Move', ['Colour', 'g'], ['Shape', 'any']]], ['Zone', '1']]]",-552.8112944033339,2822,5.0,0.4,3.0
"['No-norm', 'true']",-549.9992915147448,14304,1.0,0.45,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-549.0760559836771,5233,2.0,0.45,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",-549.0760559837171,3327,3.0,0.45,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'r'], ['Shape', 'any']]], ['Zone', '2']]]",-552.8070387565731,2231,4.0,0.45,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'circle']]], ['Zone', '2']]]",-552.8070387565791,1716,5.0,0.45,1.0
"['No-norm', 'true']",-549.9992915148335,23108,1.0,0.45,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-555.089421142251,1503,2.0,0.45,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",-555.2591321967387,1146,3.0,0.45,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']]], ['Zone', '2']]]",-555.0894211422572,899,4.0,0.45,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",-555.2591321967409,484,5.0,0.45,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-545.4835531773314,10195,1.0,0.45,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-545.4835531772466,8187,2.0,0.45,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-546.5821654659242,2926,3.0,0.45,3.0
"['No-norm', 'true']",-549.9992915146046,2364,4.0,0.45,3.0
"['Norm', ['Pro', ['Action', 'putdown'], ['Colour', 'g'], ['Shape', 'any'], ['Zone', '1']]]",-553.586472199387,1859,5.0,0.45,3.0
"['No-norm', 'true']",-549.9992915145411,7525,1.0,0.5,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-551.3334698746577,6282,2.0,0.5,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-551.3334698746442,4467,3.0,0.5,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-552.4320821632784,1630,4.0,0.5,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",-553.1252293438184,1167,5.0,0.5,1.0
"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'b'], ['Shape', 'square'], ['PerZone', 'any']]]",-551.9212565394564,4032,1.0,0.5,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-552.9666243136752,4010,2.0,0.5,2.0
"['Norm', ['Pro', ['Action', 'putdown'], ['Colour', 'r'], ['Shape', 'any'], ['Zone', '3']]]",-552.3858680932908,3723,3.0,0.5,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-552.9666243136805,3443,4.0,0.5,2.0
"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'b'], ['Shape', 'square'], ['PerZone', 'any']]]",-551.9212565394738,2899,5.0,0.5,2.0
"['No-norm', 'true']",-549.9992915148148,20445,1.0,0.5,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '2'], ['Next-Move', ['Colour', 'r'], ['Shape', 'any']]], ['Zone', '3']]]",-555.2046708854862,1798,2.0,0.5,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '2'], ['Next-Move', ['Colour', 'any'], ['Shape', 'circle']]], ['Zone', '3']]]",-555.2046708854909,1506,3.0,0.5,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '2'], ['Next-Move', ['Colour', 'any'], ['Shape', 'circle']]], ['Zone', '3']]]",-555.2046708854917,1463,4.0,0.5,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '2'], ['Next-Move', ['Colour', 'r'], ['Shape', 'any']]], ['Zone', '3']]]",-555.2046708855,1152,5.0,0.5,3.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-550.2211897579249,7641,1.0,0.55,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-550.2211897579249,7641,1.0,0.55,1.0
"['Norm', ['Pro', ['Action', 'putdown'], ['Colour', 'g'], ['Shape', 'any'], ['Zone', '1']]]",-552.2921329990616,3947,2.0,0.55,1.0
"['No-norm', 'true']",-549.99929151457,3775,3.0,0.55,1.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-551.319802046733,2656,4.0,0.55,1.0
"['No-norm', 'true']",-549.9992915146407,9890,1.0,0.55,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-553.4304591889303,3204,2.0,0.55,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']]]",-553.4304591889302,3198,3.0,0.55,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",-553.8175832156511,2419,4.0,0.55,2.0
"['Norm', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",-553.817583215651,2363,5.0,0.55,2.0
"['No-norm', 'true']",-549.9992915147626,15495,1.0,0.55,3.0
"['Norm', ['Pro', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'triangle'], ['Zone', '3']]]",-553.0929108438723,6060,2.0,0.55,3.0
"['Norm', ['Pro', ['Action', 'putdown'], ['Colour', 'b'], ['Shape', 'triangle'], ['Zone', '3']]]",-554.1915231324914,1977,3.0,0.55,3.0
"['Norms', ['Pro', ['Action', 'putdown'], ['Colour', 'b'], ['Shape', 'any'], ['Zone', '3']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', 'any']]]",-556.2709646741793,490,4.0,0.55,3.0
"['Norms', ['Obl', ['Next-Move', ['Colour', 'any'], ['Shape', 'triangle']], ['Zone', '1']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'any'], ['PerZone', '2']]]",-556.6764297822876,426,5.0,0.55,3.0
