,w_nc,trial,norm_wi_max_post,max_posterior_in_chain,true_norm_posterior
0,0.35,1,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",-549.173442904733,-549.173442904733
0,0.35,2,"('No-norm', 'true')",-549.9992915146141,-552.4917305674
0,0.35,3,"('No-norm', 'true')",-549.9992915146141,-555.5160760423566
0,0.4,1,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",-545.7132329318588,-545.7132329318588
0,0.4,2,"('No-norm', 'true')",-549.9992915146141,-552.3262054266502
0,0.4,3,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",-548.0380496495485,-548.0380496495485
0,0.45,1,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",-549.0760559836866,-549.0760559836866
0,0.45,2,"('No-norm', 'true')",-549.9992915146141,-559.2961539318704
0,0.45,3,"('Norm', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')))",-545.483553177269,-549.542861583334
0,0.5,1,"('No-norm', 'true')",-549.9992915146141,-558.4775908223204
0,0.5,2,"('No-norm', 'true')",-549.9992915146141,-552.9015552564407
0,0.5,3,"('No-norm', 'true')",-549.9992915146141,-560.8038924419317
0,0.55,1,"('No-norm', 'true')",-549.9992915146141,-553.4521038772559
0,0.55,2,"('No-norm', 'true')",-549.9992915146141,-557.3244535239595
0,0.55,3,"('No-norm', 'true')",-549.9992915146141,-559.0539373197404
